id,type,src,dst,app,latency,message,ctime,size,buffer
181,LINK,12,2,Aplikasi B,1.000005,M.Action,910,10,0
182,LINK,2,5,Aplikasi B,2.00001,M.Action,910,10,1
181,LINK,2,5,Aplikasi B,2.00001,M.Action,911.000005,10,1
183,LINK,12,2,Aplikasi B,1.000005,M.Action,920,10,0
184,LINK,2,5,Aplikasi B,2.00001,M.Action,920,10,1
183,LINK,2,5,Aplikasi B,2.00001,M.Action,921.000005,10,1
185,LINK,12,2,Aplikasi B,1.000005,M.Action,930,10,0
186,LINK,2,5,Aplikasi B,2.00001,M.Action,930,10,1
185,LINK,2,5,Aplikasi B,2.00001,M.Action,931.000005,10,1
187,LINK,12,2,Aplikasi B,1.000005,M.Action,940,10,0
188,LINK,2,5,Aplikasi B,2.00001,M.Action,940,10,1
187,LINK,2,5,Aplikasi B,2.00001,M.Action,941.000005,10,1
189,LINK,12,2,Aplikasi B,1.000005,M.Action,950,10,0
190,LINK,2,5,Aplikasi B,2.00001,M.Action,950,10,1
189,LINK,2,5,Aplikasi B,2.00001,M.Action,951.000005,10,1
191,LINK,12,2,Aplikasi B,1.000005,M.Action,960,10,0
192,LINK,2,5,Aplikasi B,2.00001,M.Action,960,10,1
191,LINK,2,5,Aplikasi B,2.00001,M.Action,961.000005,10,1
193,LINK,12,2,Aplikasi B,1.000005,M.Action,970,10,0
194,LINK,2,5,Aplikasi B,2.00001,M.Action,970,10,1
193,LINK,2,5,Aplikasi B,2.00001,M.Action,971.000005,10,1
195,LINK,12,2,Aplikasi B,1.000005,M.Action,980,10,0
196,LINK,2,5,Aplikasi B,2.00001,M.Action,980,10,1
195,LINK,2,5,Aplikasi B,2.00001,M.Action,981.000005,10,1
197,LINK,12,2,Aplikasi B,1.000005,M.Action,990,10,0
198,LINK,2,5,Aplikasi B,2.00001,M.Action,990,10,1
197,LINK,2,5,Aplikasi B,2.00001,M.Action,991.000005,10,1
